,Name,Is Potentially Hazardous,Minimum Orbit Intersection,Absolute Magnitude,Close Approach Date,Miles per Hour,Miss Distance,First Observationv Date,Last Observationv Date
18725,(2011 EH17),False,.00722369,24.6,1934-02-05,52507.4618713599,3821977.25,2011-03-06,2011-03-09
18726,(2011 EN40),False,.15004,20.6,1900-04-02,36403.7038631456,38743788,2011-03-10,2016-01-11
18727,(2011 EJ47),False,.0362091,22.0,1901-09-23,33183.6274485324,21375216,2011-03-11,2018-09-29
18728,(2011 EP51),False,.0255378,25.2,1900-03-26,31059.8571148515,17538730,2011-03-12,2017-02-24
18729,(2011 FV9),False,.0507302,23.2,2009-08-11,54332.0126286147,45768236,2011-03-27,2011-04-13
18730,(2011 FR29),False,.0608925,22.0,1900-03-06,17798.7763614966,29612454,2011-03-30,2012-03-18
18731,(2011 GH3),False,.149137,18.5,1900-01-20,45358.7827970389,11637315,2011-04-02,2015-02-22
18732,(2011 GK44),False,.0235295,25.6,1900-01-01,24146.1634033565,9384835,2011-04-05,2011-04-10
18733,(2011 GZ54),False,.142667,22.0,1902-10-12,18658.942915916,46418712,2011-04-05,2014-01-22
18734,(2011 GP59),False,.00290993,24.3,1900-04-04,50049.3256706802,44373044,2011-04-08,2015-01-29
18735,(2011 GL44),False,.117252,20.6,1900-05-07,57210.2838057506,28676522,2011-04-05,2017-05-17
18736,(2011 GB55),False,.104399,21.8,1903-05-07,27541.2681562873,13259388,2011-04-06,2012-04-11
18737,(2011 HO5),False,.000383892,24.3,1906-05-18,25415.4080549485,18858964,2011-04-27,2011-05-28
18738,(2011 HE24),False,.0618982,19.1,1901-09-19,32374.2646407894,27865526,2011-04-28,2016-01-05
18739,(2011 HJ7),False,.00584028,22.2,1902-11-24,27202.0667268571,12601627,2011-04-26,2018-05-18
18740,(2011 HC36),False,.087594,20.7,1904-06-19,22042.7977522244,25471114,1990-10-15,2011-11-12
18741,(2011 JY1),False,.00167355,24.6,1900-05-19,54372.8642215464,40171008,2011-05-03,2013-11-11
18742,(2011 JM5),False,.00560621,26.3,1904-05-01,27541.0356529762,16582993,2011-05-05,2011-05-12
18743,(2011 HS60),False,.0937356,21.3,1900-06-06,30597.0760567749,9809075,2011-04-30,2018-05-18
18744,(2011 JW10),False,.198261,23.0,1966-04-18,24637.9484393532,43451776,2011-05-08,2017-05-29
18745,(2011 KO17),True,.0489278,20.2,1904-10-21,8468.0445879421,114737584,2011-01-13,2015-08-19
18746,(2011 KY15),False,.0167161,24.1,1907-06-06,30932.6602568146,7769780.5,2011-05-27,2011-06-02
18747,(2011 KP17),False,.0815812,19.1,1902-07-27,25666.8703146036,8709846,2011-05-12,2016-04-03
18748,(2011 LJ1),False,.069263,19.3,1910-07-13,37679.4843408758,8769066,2011-06-04,2016-02-11
